	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
NLRC4 (GOF)-MAS (macrophage activating syndrome) or familial cold autoinflammatory syndrome 4_NLRC4_AD GOF	NLRC4 (GOF)-MAS (macrophage activating syndrome) or familial cold autoinflammatory syndrome 4	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD GOF	616115	NLRC4	NLRC4	58484	Severe enterocolitis and macrophage activation syndrome	Normal	Normal	Normal	Normal	PMNs monocytes macrophages	[]	['hsa04621  NOD-like receptor signaling pathway', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05134  Legionellosis', 'hsa05135  Yersinia infection']	['HP:0001954', 'HP:0000006', 'HP:0004387', 'HP:0002721']
NLRP1 deficiency_NLRP1_AR	NLRP1 deficiency	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AR	606579	NLRP1	NLRP1	22861	Dyskeratosis, autoimmunity and arthritis	Normal	Normal	Normal	Normal	leukocytes	[]	['hsa04621  NOD-like receptor signaling pathway']	['HP:0001954', 'HP:0002960', 'HP:0000007', 'HP:0002721', 'HP:0001369']
NLRP1 GOF_NLRP1_AD GOF	NLRP1 GOF	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD GOF	615225	NLRP1	NLRP1	22861	Palmoplantar carcinoma, corneal scarring	Normal	Normal	Normal	Normal	Keratinocytes	[]	['hsa04621  NOD-like receptor signaling pathway']	['HP:0001954', 'HP:0000006', 'HP:0000559', 'HP:0030731', 'HP:0100699', 'HP:0002721']
Familial cold autoinflammatory syndrome 2_NLRP12_AD GOF	Familial cold autoinflammatory syndrome 2	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD GOF	611762	NLRP12	NLRP12	91662	Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure.	Normal	Normal	Normal	Normal	PMNs, monocytes	[]	['hsa04621  NOD-like receptor signaling pathway']	['HP:0001954', 'HP:0000006', 'HP:0001974', 'HP:0002721', 'HP:0001025', 'HP:0001945', 'HP:0001369', 'HP:0011137', 'HP:0025143']
Familial cold autoinflammatory syndrome 1_NLRP3_AD GOF	Familial cold autoinflammatory syndrome 1	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD GOF	120100	NLRP3	NLRP3	114548	Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure.	Normal	Normal	Normal	Normal	PMNs, monocytes	['Selnoflast (DG03239): D12422 D12423']	['hsa04217  Necroptosis', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05133  Pertussis', 'hsa05135  Yersinia infection', 'hsa05164  Influenza A', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05417  Lipid and atherosclerosis']	['HP:0001954', 'HP:0000006', 'HP:0001974', 'HP:0002721', 'HP:0001025', 'HP:0001945', 'HP:0001369', 'HP:0011137', 'HP:0025143']
Neonatal onset multisystem inflammatory disease (NOMID) or chronic infantile  neurologic cutaneous and articular syndrome (CINCA)_NLRP3_AD GOF	Neonatal onset multisystem inflammatory disease (NOMID) or chronic infantile  neurologic cutaneous and articular syndrome (CINCA)	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD GOF	607115	NLRP3	NLRP3	114548	Neonatal onset rash, chronic meningitis, and arthropathy with fever and inflammation.	Normal	Normal	Normal	Normal	PMNs, chondrocytes	['Selnoflast (DG03239): D12422 D12423']	['hsa04217  Necroptosis', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05133  Pertussis', 'hsa05135  Yersinia infection', 'hsa05164  Influenza A', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05417  Lipid and atherosclerosis']	['HP:0001954', 'HP:0000006', 'HP:0003040', 'HP:0002721', 'HP:0001945', 'HP:0001287', 'HP:0000988']
Muckle-Wells syndrome_NLRP3_AD GOF	Muckle-Wells syndrome	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD GOF	191900	NLRP3	NLRP3	114548	Urticaria, SNHL, amyloidosis.	Normal	Normal	Normal	Normal	PMNs Monocytes	['Selnoflast (DG03239): D12422 D12423']	['hsa04217  Necroptosis', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05133  Pertussis', 'hsa05135  Yersinia infection', 'hsa05164  Influenza A', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05417  Lipid and atherosclerosis']	['HP:0001954', 'HP:0000006', 'HP:0000407', 'HP:0000365', 'HP:0002721', 'HP:0001025', 'HP:0011034']
RIPK1 deficiency_RIPK1_AD	RIPK1 deficiency	Table 7 Autoinflammatory Disorders	Subtable 2 Defects Affecting the Inflammasome	AD		RIPK1	RIPK1	8737	Autoinflamamtion with fver, HSM, ulcers, arthralgia, GI inflammation.  Responds to tocilizumab	nan	nan	nan	nan	nan	['Eclitasertib: D12352']	['hsa04064  NF-kappa B signaling pathway', 'hsa04210  Apoptosis', 'hsa04217  Necroptosis', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04668  TNF signaling pathway', 'hsa04936  Alcoholic liver disease', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05160  Hepatitis C', 'hsa05163  Human cytomegalovirus infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection']	['HP:0001954', 'HP:0000006', 'HP:0002721', 'HP:0004386', 'HP:0002829', 'HP:0001433']
ADAM17 deficiency_ADAM17_AR	ADAM17 deficiency	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	614328	ADAM17	ADAM17	6868	Early onset diarrhea and skin lesions	Normal	Normal	Normal	Normal	Leukocytes and epithelial cells	['Aderbasib: D09320', 'Apratastat: D08859']	['hsa04330  Notch signaling pathway', 'hsa05010  Alzheimer disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0002014', 'HP:0000007', 'HP:0004387', 'HP:0002721']
ALPI deficiency_ALPI_AR	ALPI deficiency	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	171740	ALPI	ALPI	248	Inflammatory bowel disease	Normal	Normal	Normal	Normal	Intestinal epithelial cells	['Ilofotase alfa: D12277']	['hsa00730  Thiamine metabolism', 'hsa00790  Folate biosynthesis', 'hsa01100  Metabolic pathways', 'hsa01240  Biosynthesis of cofactors']	['HP:0000007', 'HP:0002037', 'HP:0002721']
AP1S3 deficiency_AP1S3_AR	AP1S3 deficiency	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	615781	AP1S3	AP1S3	130340	Pustular psoriasis	Normal	Normal	Normal	Normal	Keratinocytes	[]	['hsa04142  Lysosome', 'hsa05170  Human immunodeficiency virus 1 infection']	['HP:0000007', 'HP:0003765', 'HP:0002721']
CAMPS (CARD14 mediated psoriasis)_CARD14_AD	CAMPS (CARD14 mediated psoriasis)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD	602723	CARD14	CARD14	79092	Psoriasis	nan	nan	nan	nan	Mainly in keratinocytes	[]	['hsa04064  NF-kappa B signaling pathway']	['HP:0000006', 'HP:0003765', 'HP:0002721']
COPA defect_COPA_AD	COPA defect	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD	6011924	COPA	COPA	1314	Autoimmune inflammatory arthritis and interstitial lung disease with Th17 dysregulation and autoantibody production	nan	nan	nan	nan	PMN and tissue specific cells	[]	[]	['HP:0000006', 'HP:0002088', 'HP:0002960', 'HP:0002721', 'HP:0006530', 'HP:0001369']
Tim-3 deficiency_HAVCR2_AR	Tim-3 deficiency	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	606652	HAVCR2	HAVCR2	84868	T-cell lymphoma, subcutaneous panniculitis-like, HLH	Normal	Normal	Normal	Normal	Leukocytes	['Cobolimab: D11377', 'Sabatolimab: D12164', 'Surzebiclimab: D12429']	[]	['HP:0002665', 'HP:0000007', 'HP:0012490', 'HP:0002721']
HCK disease_HCK_AD GOF	HCK disease	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD GOF		HCK	HCK	3055	Cutaneous vasculitis and chronic pulmonary inflammation/fibrosis. Inflammatory leukocyte infiltration of the lungs and skin, anemia, hepatosplenomegaly, death due to respiratory failure. Clinical improvement with ruxolitinib	nan	nan	nan	nan	nan	[]	['hsa04062  Chemokine signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection']	['HP:0000006', 'HP:0001903', 'HP:0200029', 'HP:0001433', 'HP:0002633', 'HP:0002878']
DIRA (Deficiency of the Interleukin 1 Receptor Antagonist)_IL1RN_AR	DIRA (Deficiency of the Interleukin 1 Receptor Antagonist)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	612852	IL1RN	IL1RN	3557	Neonatal onset of sterile multifocal osteomyelitis, periostitis and pustulosis.	Normal	Normal	Normal	Normal	PMNs, Monocytes	[]	['hsa04060  Cytokine-cytokine receptor interaction']	['HP:0030314', 'HP:0033605', 'HP:0000007', 'HP:0002721', 'HP:0003765', 'HP:0002754']
DITRA (Deficiency of IL-36 receptor antagonist)_IL36RN_AR	DITRA (Deficiency of IL-36 receptor antagonist)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	614204	IL36RN	IL36RN	26525	Pustular psoriasis	Normal	Normal	Normal	Normal	Keratinocytes, leukocytes	[]	['hsa04060  Cytokine-cytokine receptor interaction']	['HP:0000007', 'HP:0003765', 'HP:0002721']
Chronic recurrent multifocal osteomyelitis and congenital dyserythropoietic anemia  (Majeed syndrome)_LPIN2_AR	Chronic recurrent multifocal osteomyelitis and congenital dyserythropoietic anemia  (Majeed syndrome)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	609628	LPIN2	LPIN2	9663	Chronic recurrent multifocal osteomyelitis, transfusion-dependent anemia, cutaneous inflammatory disorders	Normal	Normal	Normal	Normal	Neutrophils, bone marrow cells	[]	['hsa00561  Glycerolipid metabolism', 'hsa00564  Glycerophospholipid metabolism', 'hsa01100  Metabolic pathways', 'hsa04150  mTOR signaling pathway', 'hsa04936  Alcoholic liver disease']	['HP:0001903', 'HP:0000007', 'HP:0002721', 'HP:0002754']
HEM1 (NCKAPIL) deficiency_NCKAPIL_AR	HEM1 (NCKAPIL) deficiency	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR		NCKAPIL	NCKAP1L	3071	Infections, skin rashes, ulcers, SLE-like, fever, HLH-like, FTT.  High Th1 cytokines	Normal T cell counts but high TCM, decreased prolfieration	Normal	Normal to high	nan	nan	[]	['hsa04810  Regulation of actin cytoskeleton', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05132  Salmonella infection']	['HP:0010702', 'HP:0001508', 'HP:0000007', 'HP:0002721', 'HP:0002037', 'HP:0001945', 'HP:0000988']
Blau syndrome_NOD2_AD	Blau syndrome	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD	186580	NOD2	NOD2	64127	Uveitis, granulomatous synovitis, camptodactyly, rash and cranial neuropathies, 30% develop Crohn colitis	Normal	Normal	Normal	Normal	Monocytes	['Inarigivir soproxil: D11385', 'Mifamurtide: D06619']	['hsa04621  NOD-like receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa05152  Tuberculosis', 'hsa05321  Inflammatory bowel disease']	['HP:0012385', 'HP:0000006', 'HP:0002583', 'HP:0000554', 'HP:0002721', 'HP:0000988', 'HP:0009830', 'HP:0100769']
Otulipenia/ORAS_OTULIN_AR	Otulipenia/ORAS	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	615712	OTULIN	OTULIN	90268	Fever, diarrhea , dermatitis	nan	nan	nan	nan	Leukocytes	[]	[]	['HP:0001954', 'HP:0002014', 'HP:0000007', 'HP:0002721', 'HP:0001945', 'HP:0011123']
PLAID (PLCg2 associated antibody deficiency and immune dysregulation) or familial cold autoinflammatory syndrome 3  or APLAID (c2120A>C)_PLCG2_AD GOF	PLAID (PLCg2 associated antibody deficiency and immune dysregulation) or familial cold autoinflammatory syndrome 3  or APLAID (c2120A>C)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD GOF	614468	PLCG2	PLCG2	5336	Cold urticaria hypogammaglobulinemia, autoinflammation	Normal	Normal	Normal	Normal	B cells, NK, Mast cells	[]	['hsa00562  Inositol phosphate metabolism', 'hsa01100  Metabolic pathways', 'hsa01521  EGFR tyrosine kinase inhibitor resistance', 'hsa04012  ErbB signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04020  Calcium signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04066  HIF-1 signaling pathway', 'hsa04070  Phosphatidylinositol signaling system', 'hsa04072  Phospholipase D signaling pathway', 'hsa04360  Axon guidance', 'hsa04370  VEGF signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04611  Platelet activation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04662  B cell receptor signaling pathway', 'hsa04664  Fc epsilon RI signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa04670  Leukocyte transendothelial migration', 'hsa04722  Neurotrophin signaling pathway', 'hsa04750  Inflammatory mediator regulation of TRP channels', 'hsa04919  Thyroid hormone signaling pathway', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa04935  Growth hormone synthesis, secretion and action', 'hsa05110  Vibrio cholerae infection', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05131  Shigellosis', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05205  Proteoglycans in cancer', 'hsa05206  MicroRNAs in cancer', 'hsa05214  Glioma', 'hsa05223  Non-small cell lung cancer', 'hsa05225  Hepatocellular carcinoma']	['HP:0001954', 'HP:0000006', 'HP:0410135', 'HP:0002721', 'HP:0001025', 'HP:0004313']
CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)_PSMB8_AR	CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	256040	PSMB8	PSMB8	5696	Contractures, panniculitis, ICC, fevers	nan	nan	nan	nan	nan	[]	['hsa03050  Proteasome']	['HP:0012490', 'HP:0000007', 'HP:0002721', 'HP:0001945', 'HP:0002514']
CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)_PSMB8_AD	CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD	256040	PSMB8	PSMB8	5696	Contractures, panniculitis, ICC, fevers	nan	nan	nan	nan	nan	[]	['hsa03050  Proteasome']	['HP:0000006', 'HP:0012490', 'HP:0002721', 'HP:0001945', 'HP:0002514']
PRAAS -like condition_PSMB9_AD GOF	PRAAS -like condition	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD GOF		PSMB9	PSMB9	5698	Severe autoinflammatory phenotype (neonatal-onset fever, a chilblain-like skin rash, myositis, severe pulmonary hypertension, basal ganglia calcification), periodic inflammatory exacerbation.  Immunodeficiency. Elevated levels of inflammatory cytokines (IL-6, IL-18, IP-10, IFN-a) and in blood and CSF.  High LFTs. Hyperactivation of IFN-a, pSTAT1.	Mild pancytopenia	Mild pancytopenia	Variable	Mild pancytopenia	nan	[]	['hsa03050  Proteasome']	['HP:0000006', 'HP:0100614', 'HP:0000822', 'HP:0002721', 'HP:0002135', 'HP:0001945', 'HP:0000988', 'HP:0001876']
CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)_PSMG2_AR	CANDLE (chronic atypical neutrophilic dermatitis with lipodystrophy)	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	609702	PSMG2	PSMG2	56984	Panniculitis, lipodystrophy, autoimmune hemolytic anemia	Normal	Normal	Normal	Normal	nan	[]	[]	['HP:0012490', 'HP:0002960', 'HP:0001890', 'HP:0009125', 'HP:0001903', 'HP:0000007', 'HP:0002721', 'HP:0001878']
Pyogenic sterile arthritis, pyoderma gangrenosum, acne (PAPA) syndrome, hyperzincemia and hypercalprotectinemia_PSTPIP1_AD	Pyogenic sterile arthritis, pyoderma gangrenosum, acne (PAPA) syndrome, hyperzincemia and hypercalprotectinemia	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD	604416	PSTPIP1	PSTPIP1	9051	Destructive arthritis, inflammatory skin rash, myositis	Normal	Normal	Normal	Normal	Hematopoietic tissues, upregulated in activated T-cells	[]	['hsa04621  NOD-like receptor signaling pathway']	['HP:0001954', 'HP:0000006', 'HP:0100614', 'HP:0002721', 'HP:0000988', 'HP:0001369']
Cherubism_SH3BP2_AD	Cherubism	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD	118400	SH3BP2	SH3BP2	6452	Bone degeneration in jaws	nan	nan	nan	nan	Stroma cells, bone cells	[]	['hsa04650  Natural killer cell mediated cytotoxicity']	['HP:0000277', 'HP:0000006', 'HP:0002721']
Hyperpigmentation hypertrichosis, histiocytosis-lymphadenopathy plus syndrome SLC29A3 mutation_SLC29A3_AR	Hyperpigmentation hypertrichosis, histiocytosis-lymphadenopathy plus syndrome SLC29A3 mutation	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AR	602782	SLC29A3	SLC29A3	55315	Hyperpigmentation, hypertrichosis, histiocytosis, lymphadenopathy , clinodactyly, short stature, red cell aplasia	nan	nan	nan	nan	Leukocytes, bone cells	[]	['hsa05034  Alcoholism']	['HP:0004322', 'HP:0100727', 'HP:0000998', 'HP:0030084', 'HP:0000007', 'HP:0002721', 'HP:0012410', 'HP:0002716']
SYK disease_SYK_AD GOF	SYK disease	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD GOF		SYK	SYK	6850	Immune deficiency/recurrent infections, multi-organ inflammatory disease (colitis, arthritis, dermatitis), inflammation in multiple tissues (gut, skin, CNS, lung, liver). Diffuse large B cell lymphoma. High WBC counts, CRP	nan	nan	Low IgG, IgM	nan	nan	['Entospletinib: D11209', 'Fostamatinib (DG01419): D09347 D09348<US>', 'Gusacitinib (DG03080): D11676 D11677', 'Mivavotinib (DG03106): D11789 D11790', 'Tuspetinib: D12476']	['hsa04064  NF-kappa B signaling pathway', 'hsa04072  Phospholipase D signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04611  Platelet activation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04662  B cell receptor signaling pathway', 'hsa04664  Fc epsilon RI signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa05152  Tuberculosis', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05203  Viral carcinogenesis']	['HP:0000006', 'HP:0002583', 'HP:0012191', 'HP:0002665', 'HP:0002850', 'HP:0001369', 'HP:0011123', 'HP:0004315']
A20 deficiency_TNFAIP3_AD	A20 deficiency	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	AD	616744	TNFAIP3	TNFAIP3	7128	Arthralgia, mucosal ulcers, ocular inflammation	nan	nan	nan	nan	Lymphocytes	[]	['hsa04064  NF-kappa B signaling pathway', 'hsa04217  Necroptosis', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa05162  Measles', 'hsa05169  Epstein-Barr virus infection']	['HP:0100533', 'HP:0000006', 'HP:0002829', 'HP:0002721']
NEMO-NDAS_IKBKG c. 671+3 G > C_XL females can be affected	NEMO-NDAS	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	XL females can be affected		IKBKG c. 671+3 G > C	IKBKG	8517	Panniculitis, fevers, lipodystrophy, conical teeth, arthritis, CNS inflammation	nan	nan	Low IgG	nan	nan	[]	['hsa01523  Antifolate resistance', 'hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04210  Apoptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04936  Alcoholic liver disease', 'hsa05010  Alzheimer disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05135  Yersinia infection', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05212  Pancreatic cancer', 'hsa05215  Prostate cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05221  Acute myeloid leukemia', 'hsa05222  Small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05340  Primary immunodeficiency', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0012490', 'HP:0100533', 'HP:0009125', 'HP:0002721', 'HP:0000698', 'HP:0001945', 'HP:0001369', 'HP:0004315']
